Experiment Date,Log ID,Position ID,Model ID,Experiment ID,Experiment Name
2019-03-02-12-59-33,74,74,74,exp039,exp_largebasic_shotgun_hate_agent4
2019-03-02-14-14-48,75,75,75,exp040,exp_largebasic_shotgun_hate_agent4
2019-03-02-15-46-25,76,76,76,exp041,exp_largebasic_shotgun_hate_agent4
2019-03-02-17-53-15,77,77,77,exp042,exp_largebasic_shotgun_hate_agent4
2019-03-02-21-19-08,78,78,78,exp038,exp_largebasic_shotgun_hate_agent5
2019-03-02-22-24-13,79,79,79,exp039,exp_largebasic_shotgun_hate_agent5
2019-03-02-23-38-58,80,80,80,exp040,exp_largebasic_shotgun_hate_agent5
2019-03-03-01-11-05,81,81,81,exp041,exp_largebasic_shotgun_hate_agent5
2019-03-03-03-19-18,82,82,82,exp042,exp_largebasic_shotgun_hate_agent5
2019-03-03-21-59-45,83,83,83,exp045,exp_largebasic_rocket_hate_agent_noimit1
2019-03-03-23-07-15,84,84,84,exp046,exp_largebasic_rocket_hate_agent_noimit1
2019-03-04-03-12-51,85,85,85,exp045,exp_largebasic_rocket_hate_agent_noimit2
2019-03-04-04-20-00,86,86,86,exp046,exp_largebasic_rocket_hate_agent_noimit2
2019-03-04-08-26-55,87,87,87,exp045,exp_largebasic_rocket_hate_agent_noimit3
2019-03-04-09-34-34,88,88,88,exp046,exp_largebasic_rocket_hate_agent_noimit3
2019-03-04-13-40-59,89,89,89,exp045,exp_largebasic_rocket_hate_agent_noimit4
2019-03-04-14-47-29,90,90,90,exp046,exp_largebasic_rocket_hate_agent_noimit4
2019-03-04-18-54-01,91,91,91,exp045,exp_largebasic_rocket_hate_agent_noimit5
2019-03-04-20-00-20,92,92,92,exp046,exp_largebasic_rocket_hate_agent_noimit5
